,activity,activity_vocab,caseid,amount,resource,resource_vocab,predicted_vocab,predicted_value,lengths,activity_sparcity
1675,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",178966,20000.0,"[70, 53, 53, 53, 30, 30, 30, 30, 30, 30, 30, 40, 71, 3]","['<SOS>', '112', '112', '112', '10939', '10939', '10939', '10939', '10939', '10939', '10939', '11029', 'UNKNOWN', '10138']",A_APPROVED_COMPLETE,0.5199650526046753,14,1
996,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_ACTIVATED_COMPLETE']",176804,15000.0,"[70, 53, 53, 53, 47, 44, 39, 39, 39, 39, 39, 39, 40, 71, 3, 3]","['<SOS>', '112', '112', '112', '11122', '11119', '11019', '11019', '11019', '11019', '11019', '11019', '11029', 'UNKNOWN', '10138', '10138']",A_APPROVED_COMPLETE,0.8607922196388245,16,1
688,"[2, 12, 9, 10, 20, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",175843,7000.0,"[70, 53, 53, 17, 17, 52, 39, 39, 39, 39, 39, 39, 41, 41, 6]","['<SOS>', '112', '112', '10881', '10881', '11189', '11019', '11019', '11019', '11019', '11019', '11019', '11049', '11049', '10609']",A_APPROVED_COMPLETE,0.6306346654891968,15,2
1455,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",178263,20000.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 41, 41, 7]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '11049', '11049', '10629']",A_APPROVED_COMPLETE,0.6119003891944885,13,2
1847,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",179504,13000.0,"[70, 53, 53, 53, 71, 54, 54, 54, 54, 54, 71, 71, 40, 71, 10]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11200', '11200', '11200', '11200', '11200', 'UNKNOWN', 'UNKNOWN', '11029', 'UNKNOWN', '10809']",A_APPROVED_COMPLETE,0.47705671191215515,15,2
3865,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",185740,30000.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 19, 19, 3]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '10899', '10899', '10138']",A_APPROVED_COMPLETE,0.49780869483947754,13,2
866,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE']",176413,15000.0,"[70, 53, 53, 53, 52, 48, 49, 49, 49, 49, 49, 49, 50, 40, 71, 7]","['<SOS>', '112', '112', '112', '11189', '11169', '11179', '11179', '11179', '11179', '11179', '11179', '11180', '11029', 'UNKNOWN', '10629']",A_APPROVED_COMPLETE,0.5864081382751465,16,2
9870,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",204454,7000.0,"[70, 53, 53, 53, 51, 57, 57, 57, 57, 57, 57, 57, 19, 19, 32]","['<SOS>', '112', '112', '112', '11181', '11203', '11203', '11203', '11203', '11203', '11203', '11203', '10899', '10899', '10972']",A_APPROVED_COMPLETE,0.44177329540252686,15,2
2234,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",180724,5500.0,"[70, 53, 53, 53, 50, 50, 38, 38, 38, 38, 38, 38, 40, 71, 10]","['<SOS>', '112', '112', '112', '11180', '11180', '11009', '11009', '11009', '11009', '11009', '11009', '11029', 'UNKNOWN', '10809']",A_APPROVED_COMPLETE,0.5421407222747803,15,2
754,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",176051,10000.0,"[70, 53, 53, 53, 71, 71, 52, 52, 52, 52, 52, 52, 40, 71, 6]","['<SOS>', '112', '112', '112', 'UNKNOWN', 'UNKNOWN', '11189', '11189', '11189', '11189', '11189', '11189', '11029', 'UNKNOWN', '10609']",A_APPROVED_COMPLETE,0.6566654443740845,15,2
10450,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",206267,10000.0,"[70, 53, 53, 53, 55, 23, 23, 23, 23, 23, 23, 19, 19, 7]","['<SOS>', '112', '112', '112', '11201', '10913', '10913', '10913', '10913', '10913', '10913', '10899', '10899', '10629']",A_APPROVED_COMPLETE,0.7047183513641357,14,2
10522,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",206483,6000.0,"[70, 53, 53, 53, 56, 56, 56, 56, 56, 71, 9, 9, 3]","['<SOS>', '112', '112', '112', '11202', '11202', '11202', '11202', '11202', 'UNKNOWN', '10789', '10789', '10138']",A_APPROVED_COMPLETE,0.42090359330177307,13,2
10185,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",205421,10000.0,"[70, 53, 53, 53, 49, 39, 39, 39, 39, 39, 39, 59, 59, 7]","['<SOS>', '112', '112', '112', '11179', '11019', '11019', '11019', '11019', '11019', '11019', '11259', '11259', '10629']",A_APPROVED_COMPLETE,0.7909082174301147,14,2
11432,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 11, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE', 'O_ACCEPTED_COMPLETE']",209287,15000.0,"[70, 53, 53, 53, 23, 23, 23, 23, 23, 23, 23, 6, 6, 6, 6]","['<SOS>', '112', '112', '112', '10913', '10913', '10913', '10913', '10913', '10913', '10913', '10609', '10609', '10609', '10609']",A_APPROVED_COMPLETE,0.9511191844940186,15,2
12700,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_REGISTERED_COMPLETE']",213192,25000.0,"[70, 53, 53, 53, 67, 67, 67, 67, 67, 67, 67, 41, 41, 32, 32]","['<SOS>', '112', '112', '112', '11319', '11319', '11319', '11319', '11319', '11319', '11319', '11049', '11049', '10972', '10972']",A_APPROVED_COMPLETE,0.9026532769203186,15,2
2541,"[2, 12, 9, 10, 22, 22, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_REGISTERED_COMPLETE']",181661,25000.0,"[70, 53, 53, 53, 52, 52, 71, 56, 56, 56, 56, 56, 71, 41, 41, 3, 3]","['<SOS>', '112', '112', '112', '11189', '11189', 'UNKNOWN', '11202', '11202', '11202', '11202', '11202', 'UNKNOWN', '11049', '11049', '10138', '10138']",A_APPROVED_COMPLETE,0.8256120681762695,17,2
3789,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 11, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE', 'O_ACCEPTED_COMPLETE']",185506,25000.0,"[70, 53, 53, 53, 52, 27, 27, 27, 27, 27, 27, 27, 27, 40, 71, 32, 32]","['<SOS>', '112', '112', '112', '11189', '10932', '10932', '10932', '10932', '10932', '10932', '10932', '10932', '11029', 'UNKNOWN', '10972', '10972']",A_APPROVED_COMPLETE,0.8681609630584717,17,2
185,"[2, 12, 9, 10, 22, 22, 22, 3, 8, 17, 15, 19, 22, 18, 24, 25, 13, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'W_Valideren aanvraag_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_ACTIVATED_COMPLETE']",174255,15000.0,"[70, 53, 53, 53, 71, 35, 18, 18, 18, 18, 18, 18, 18, 19, 19, 10, 7, 7]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11001', '10889', '10889', '10889', '10889', '10889', '10889', '10889', '10899', '10899', '10809', '10629', '10629']",A_APPROVED_COMPLETE,0.5939386487007141,18,3
4402,"[2, 12, 9, 10, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",187385,25000.0,"[70, 53, 53, 53, 26, 26, 26, 26, 26, 26, 26, 9, 9, 3]","['<SOS>', '112', '112', '112', '10931', '10931', '10931', '10931', '10931', '10931', '10931', '10789', '10789', '10138']",A_APPROVED_COMPLETE,0.43439891934394836,14,3
10808,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 24, 24, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",207392,5000.0,"[70, 53, 53, 53, 13, 48, 48, 48, 48, 48, 48, 57, 44, 6, 6, 3]","['<SOS>', '112', '112', '112', '10861', '11169', '11169', '11169', '11169', '11169', '11169', '11203', '11119', '10609', '10609', '10138']",A_APPROVED_COMPLETE,0.6275550127029419,16,3
3139,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 25, 13, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'W_Valideren aanvraag_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_REGISTERED_COMPLETE']",183504,48287.0,"[70, 53, 53, 53, 71, 51, 47, 47, 47, 47, 47, 47, 47, 40, 71, 32, 32, 32]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11181', '11122', '11122', '11122', '11122', '11122', '11122', '11122', '11029', 'UNKNOWN', '10972', '10972', '10972']",A_APPROVED_COMPLETE,0.6177823543548584,18,3
