,activity,activity_vocab,caseid,amount,resource,resource_vocab,predicted_vocab,predicted_value,lengths
7294,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",196422,15500.0,"[70, 53, 53, 53, 38, 38, 38, 38, 38, 38, 41, 41]","['<SOS>', '112', '112', '112', '11009', '11009', '11009', '11009', '11009', '11009', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.6524878144264221,12
1453,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",178257,15500.0,"[70, 53, 53, 53, 50, 50, 50, 50, 50, 50, 41, 41]","['<SOS>', '112', '112', '112', '11180', '11180', '11180', '11180', '11180', '11180', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.674835205078125,12
4909,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",188998,15500.0,"[70, 53, 53, 53, 27, 27, 27, 27, 27, 27, 41, 41]","['<SOS>', '112', '112', '112', '10932', '10932', '10932', '10932', '10932', '10932', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.6366109848022461,12
10780,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",207278,15500.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 59, 59]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.7303299903869629,12
2906,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",182780,15500.0,"[70, 53, 53, 53, 7, 7, 7, 7, 7, 7, 7, 7]","['<SOS>', '112', '112', '112', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629']",W_Valideren aanvraag_COMPLETE,0.6068812012672424,12
11839,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",210566,15500.0,"[70, 53, 53, 53, 22, 22, 22, 22, 22, 22, 19, 19]","['<SOS>', '112', '112', '112', '10912', '10912', '10912', '10912', '10912', '10912', '10899', '10899']",W_Valideren aanvraag_COMPLETE,0.6810481548309326,12
1464,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",178290,15500.0,"[70, 53, 53, 53, 30, 30, 30, 30, 30, 30, 41, 41]","['<SOS>', '112', '112', '112', '10939', '10939', '10939', '10939', '10939', '10939', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.7076867818832397,12
1765,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",179254,15500.0,"[70, 53, 53, 53, 57, 57, 57, 57, 57, 57, 9, 9]","['<SOS>', '112', '112', '112', '11203', '11203', '11203', '11203', '11203', '11203', '10789', '10789']",W_Valideren aanvraag_COMPLETE,0.7170617580413818,12
758,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",176063,15500.0,"[70, 53, 53, 53, 54, 54, 54, 54, 54, 71, 40, 71]","['<SOS>', '112', '112', '112', '11200', '11200', '11200', '11200', '11200', 'UNKNOWN', '11029', 'UNKNOWN']",W_Valideren aanvraag_COMPLETE,0.7054961919784546,12
7987,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",198567,15500.0,"[70, 53, 53, 53, 7, 7, 7, 7, 7, 7, 7, 7]","['<SOS>', '112', '112', '112', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629']",W_Valideren aanvraag_COMPLETE,0.6068812012672424,12
