,activity,activity_vocab,caseid,amount,resource,resource_vocab,predicted_vocab,predicted_value,lengths
7294,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",196422,12500.0,"[70, 53, 53, 53, 38, 38, 38, 38, 38, 38, 41, 41]","['<SOS>', '112', '112', '112', '11009', '11009', '11009', '11009', '11009', '11009', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.6531237363815308,12
1453,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",178257,25000.0,"[70, 53, 53, 53, 50, 50, 50, 50, 50, 50, 41, 41]","['<SOS>', '112', '112', '112', '11180', '11180', '11180', '11180', '11180', '11180', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.7086620926856995,12
4909,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",188998,15000.0,"[70, 53, 53, 53, 27, 27, 27, 27, 27, 27, 41, 41]","['<SOS>', '112', '112', '112', '10932', '10932', '10932', '10932', '10932', '10932', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.6350329518318176,12
10780,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",207278,6500.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 59, 59]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.7140770554542542,12
2906,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",182780,5000.0,"[70, 53, 53, 53, 7, 7, 7, 7, 7, 7, 7, 7]","['<SOS>', '112', '112', '112', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629']",W_Valideren aanvraag_COMPLETE,0.6200321912765503,12
11839,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",210566,7500.0,"[70, 53, 53, 53, 22, 22, 22, 22, 22, 22, 19, 19]","['<SOS>', '112', '112', '112', '10912', '10912', '10912', '10912', '10912', '10912', '10899', '10899']",W_Valideren aanvraag_COMPLETE,0.6812496185302734,12
1464,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",178290,10000.0,"[70, 53, 53, 53, 30, 30, 30, 30, 30, 30, 41, 41]","['<SOS>', '112', '112', '112', '10939', '10939', '10939', '10939', '10939', '10939', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.7201606631278992,12
1765,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",179254,10000.0,"[70, 53, 53, 53, 57, 57, 57, 57, 57, 57, 9, 9]","['<SOS>', '112', '112', '112', '11203', '11203', '11203', '11203', '11203', '11203', '10789', '10789']",W_Valideren aanvraag_COMPLETE,0.7390903830528259,12
758,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",176063,23000.0,"[70, 53, 53, 53, 54, 54, 54, 54, 54, 71, 40, 71]","['<SOS>', '112', '112', '112', '11200', '11200', '11200', '11200', '11200', 'UNKNOWN', '11029', 'UNKNOWN']",W_Valideren aanvraag_COMPLETE,0.745782732963562,12
7987,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",198567,37500.0,"[70, 53, 53, 53, 7, 7, 7, 7, 7, 7, 7, 7]","['<SOS>', '112', '112', '112', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629']",W_Valideren aanvraag_COMPLETE,0.7486951351165771,12
6443,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",193738,5000.0,"[70, 53, 53, 53, 49, 49, 49, 49, 49, 49, 19, 19]","['<SOS>', '112', '112', '112', '11179', '11179', '11179', '11179', '11179', '11179', '10899', '10899']",W_Valideren aanvraag_COMPLETE,0.722057044506073,12
3550,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",184760,5000.0,"[70, 53, 53, 53, 46, 46, 46, 46, 46, 46, 40, 71]","['<SOS>', '112', '112', '112', '11121', '11121', '11121', '11121', '11121', '11121', '11029', 'UNKNOWN']",W_Valideren aanvraag_COMPLETE,0.7074427008628845,12
3774,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE']",185461,5500.0,"[70, 53, 53, 53, 3, 3, 3, 3, 3, 3, 3, 3, 3]","['<SOS>', '112', '112', '112', '10138', '10138', '10138', '10138', '10138', '10138', '10138', '10138', '10138']",A_APPROVED_COMPLETE,0.6572648882865906,13
1580,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE']",178659,14000.0,"[70, 53, 53, 53, 49, 49, 49, 49, 49, 49, 40, 71, 10]","['<SOS>', '112', '112', '112', '11179', '11179', '11179', '11179', '11179', '11179', '11029', 'UNKNOWN', '10809']",A_APPROVED_COMPLETE,0.620679497718811,13
2564,"[2, 12, 9, 10, 22, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",181730,17500.0,"[70, 53, 53, 53, 44, 23, 23, 23, 23, 23, 23, 40, 71]","['<SOS>', '112', '112', '112', '11119', '10913', '10913', '10913', '10913', '10913', '10913', '11029', 'UNKNOWN']",W_Valideren aanvraag_COMPLETE,0.6136590242385864,13
8942,"[2, 12, 9, 10, 20, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",201538,12500.0,"[70, 53, 53, 48, 48, 52, 52, 52, 52, 52, 52, 59, 59]","['<SOS>', '112', '112', '11169', '11169', '11189', '11189', '11189', '11189', '11189', '11189', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.7594811320304871,13
5713,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24, 25]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'W_Valideren aanvraag_COMPLETE']",191485,20000.0,"[70, 53, 53, 53, 31, 31, 31, 31, 31, 71, 59, 59, 3]","['<SOS>', '112', '112', '112', '10971', '10971', '10971', '10971', '10971', 'UNKNOWN', '11259', '11259', '10138']",W_Nabellen incomplete dossiers_COMPLETE,0.6354259848594666,13
5712,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",191482,18000.0,"[70, 53, 53, 53, 18, 18, 18, 18, 18, 18, 46, 19, 19]","['<SOS>', '112', '112', '112', '10889', '10889', '10889', '10889', '10889', '10889', '11121', '10899', '10899']",W_Valideren aanvraag_COMPLETE,0.6331531405448914,13
9358,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",202854,5000.0,"[70, 53, 53, 53, 27, 27, 27, 27, 27, 27, 20, 59, 59]","['<SOS>', '112', '112', '112', '10932', '10932', '10932', '10932', '10932', '10932', '10909', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.7447339296340942,13
1085,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",177089,10000.0,"[70, 53, 53, 53, 57, 57, 57, 57, 57, 57, 34, 41, 41]","['<SOS>', '112', '112', '112', '11203', '11203', '11203', '11203', '11203', '11203', '11000', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.7594450116157532,13
3865,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",185740,30000.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 19, 19, 3]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '10899', '10899', '10138']",A_APPROVED_COMPLETE,0.49780869483947754,13
8055,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",198771,5000.0,"[70, 53, 53, 53, 25, 25, 25, 25, 25, 25, 52, 59, 59]","['<SOS>', '112', '112', '112', '10929', '10929', '10929', '10929', '10929', '10929', '11189', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.5612209439277649,13
5179,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",189820,12500.0,"[70, 53, 53, 53, 21, 21, 21, 21, 21, 21, 41, 41, 3]","['<SOS>', '112', '112', '112', '10910', '10910', '10910', '10910', '10910', '10910', '11049', '11049', '10138']",A_REGISTERED_COMPLETE,0.5955159068107605,13
12426,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",212355,17000.0,"[70, 53, 53, 53, 63, 63, 63, 63, 63, 63, 19, 19, 32]","['<SOS>', '112', '112', '112', '11300', '11300', '11300', '11300', '11300', '11300', '10899', '10899', '10972']",A_APPROVED_COMPLETE,0.64759361743927,13
93,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",173979,30000.0,"[70, 53, 53, 53, 71, 23, 23, 23, 23, 23, 23, 41, 41]","['<SOS>', '112', '112', '112', 'UNKNOWN', '10913', '10913', '10913', '10913', '10913', '10913', '11049', '11049']",W_Valideren aanvraag_COMPLETE,0.6657967567443848,13
2372,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",181142,3800.0,"[70, 53, 53, 53, 44, 44, 44, 44, 44, 44, 19, 19, 3]","['<SOS>', '112', '112', '112', '11119', '11119', '11119', '11119', '11119', '11119', '10899', '10899', '10138']",A_REGISTERED_COMPLETE,0.4672708511352539,13
3881,"[2, 12, 9, 10, 22, 3, 17, 8, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",185789,5000.0,"[70, 53, 53, 53, 21, 21, 21, 21, 21, 21, 21, 59, 59]","['<SOS>', '112', '112', '112', '10910', '10910', '10910', '10910', '10910', '10910', '10910', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.6370587944984436,13
8801,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",201096,32000.0,"[70, 53, 53, 53, 18, 25, 25, 25, 25, 25, 25, 59, 59]","['<SOS>', '112', '112', '112', '10889', '10929', '10929', '10929', '10929', '10929', '10929', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.5707024335861206,13
13044,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",214250,10000.0,"[70, 53, 53, 53, 15, 15, 15, 15, 15, 15, 15, 19, 19]","['<SOS>', '112', '112', '112', '10863', '10863', '10863', '10863', '10863', '10863', '10863', '10899', '10899']",W_Valideren aanvraag_COMPLETE,0.6703355312347412,13
7617,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",197425,10000.0,"[70, 53, 53, 53, 25, 25, 25, 25, 25, 25, 59, 59, 10]","['<SOS>', '112', '112', '112', '10929', '10929', '10929', '10929', '10929', '10929', '11259', '11259', '10809']",A_APPROVED_COMPLETE,0.6485841274261475,13
3210,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",183736,27500.0,"[70, 53, 53, 53, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['<SOS>', '112', '112', '112', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629', '10629']",A_REGISTERED_COMPLETE,0.5313383936882019,13
7130,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 24, 18, 24]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE']",195920,15000.0,"[70, 53, 53, 53, 47, 47, 47, 47, 47, 47, 47, 59, 59]","['<SOS>', '112', '112', '112', '11122', '11122', '11122', '11122', '11122', '11122', '11122', '11259', '11259']",W_Valideren aanvraag_COMPLETE,0.8235991597175598,13
404,"[2, 12, 9, 10, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",174953,6000.0,"[70, 53, 53, 53, 55, 55, 55, 55, 55, 55, 41, 41, 3]","['<SOS>', '112', '112', '112', '11201', '11201', '11201', '11201', '11201', '11201', '11049', '11049', '10138']",A_REGISTERED_COMPLETE,0.6090282201766968,13
