,activity,activity_vocab,caseid,amount,resource,resource_vocab,predicted_vocab,predicted_value,lengths,activity_sparcity
9539,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",203413,33000.0,"[70, 53, 53, 53, 48, 15, 18]","['<SOS>', '112', '112', '112', '11169', '10863', '10889']",A_FINALIZED_COMPLETE,0.508945107460022,7,0
760,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",176069,20000.0,"[70, 53, 53, 53, 71, 71, 15]","['<SOS>', '112', '112', '112', 'UNKNOWN', 'UNKNOWN', '10863']",A_FINALIZED_COMPLETE,0.6230970025062561,7,0
6515,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",193971,20000.0,"[70, 53, 53, 53, 21, 33, 33]","['<SOS>', '112', '112', '112', '10910', '10982', '10982']",A_FINALIZED_COMPLETE,0.5633291006088257,7,0
10772,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",207254,40250.0,"[70, 53, 53, 53, 48, 49, 49]","['<SOS>', '112', '112', '112', '11169', '11179', '11179']",A_FINALIZED_COMPLETE,0.6062607765197754,7,0
3595,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",184895,15000.0,"[70, 53, 53, 53, 38, 57, 57]","['<SOS>', '112', '112', '112', '11009', '11203', '11203']",A_FINALIZED_COMPLETE,0.5235735177993774,7,0
8549,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",200302,32000.0,"[70, 53, 53, 53, 33, 33, 33]","['<SOS>', '112', '112', '112', '10982', '10982', '10982']",A_FINALIZED_COMPLETE,0.5568181276321411,7,0
866,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",176413,15000.0,"[70, 53, 53, 53, 52, 48, 49]","['<SOS>', '112', '112', '112', '11189', '11169', '11179']",A_FINALIZED_COMPLETE,0.557686984539032,7,0
3859,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",185722,15000.0,"[70, 53, 53, 53, 71, 48, 48]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11169', '11169']",A_FINALIZED_COMPLETE,0.5128048062324524,7,0
5968,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",192286,49000.0,"[70, 53, 53, 53, 5, 55, 27]","['<SOS>', '112', '112', '112', '10228', '11201', '10932']",A_FINALIZED_COMPLETE,0.6195098161697388,7,0
12611,"[2, 12, 9, 10, 22, 22, 3]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE']",212911,17000.0,"[70, 53, 53, 53, 44, 28, 44]","['<SOS>', '112', '112', '112', '11119', '10933', '11119']",A_FINALIZED_COMPLETE,0.549063503742218,7,0
