,activity,activity_vocab,caseid,amount,resource,resource_vocab,Predicted_vocab,Predicted_value
8326,"[2, 12, 9, 10, 20, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",199609,20000.0,"[70, 53, 53, 25, 25, 44]","['<SOS>', '112', '112', '10929', '10929', '11119']",W_Completeren aanvraag_COMPLETE,0.6618854403495789
9317,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",202731,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
10792,"[2, 12, 9, 10, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",207328,20000.0,"[70, 53, 53, 53, 13, 48]","['<SOS>', '112', '112', '112', '10861', '11169']",W_Completeren aanvraag_COMPLETE,0.734343945980072
4966,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",189169,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
10076,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",205080,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
12562,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",212764,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
7328,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",196524,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
5526,"[2, 12, 9, 10, 20, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",190914,20000.0,"[70, 53, 53, 14, 71, 25]","['<SOS>', '112', '112', '10862', 'UNKNOWN', '10929']",W_Completeren aanvraag_COMPLETE,0.752566397190094
4937,"[2, 12, 9, 10]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE']",189082,20000.0,"[70, 53, 53, 53]","['<SOS>', '112', '112', '112']",W_Completeren aanvraag_COMPLETE,0.5618182420730591
1196,"[2, 12, 9, 10, 20, 22, 22, 22, 22]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE']",177456,20000.0,"[70, 53, 53, 17, 17, 17, 50, 50, 50]","['<SOS>', '112', '112', '10881', '10881', '10881', '11180', '11180', '11180']",W_Completeren aanvraag_COMPLETE,0.7700093984603882
