,activity,activity_vocab,caseid,amount,resource,resource_vocab,predicted_vocab,predicted_value,lengths,activity_sparcity
1675,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",178966,15500.0,"[70, 53, 53, 53, 30, 30, 30, 30, 30, 30, 30, 40, 71, 3]","['<SOS>', '112', '112', '112', '10939', '10939', '10939', '10939', '10939', '10939', '10939', '11029', 'UNKNOWN', '10138']",A_APPROVED_COMPLETE,0.5188179612159729,14,1
996,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_ACTIVATED_COMPLETE']",176804,15500.0,"[70, 53, 53, 53, 47, 44, 39, 39, 39, 39, 39, 39, 40, 71, 3, 3]","['<SOS>', '112', '112', '112', '11122', '11119', '11019', '11019', '11019', '11019', '11019', '11019', '11029', 'UNKNOWN', '10138', '10138']",A_APPROVED_COMPLETE,0.8611668348312378,16,1
688,"[2, 12, 9, 10, 20, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Afhandelen leads_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",175843,15500.0,"[70, 53, 53, 17, 17, 52, 39, 39, 39, 39, 39, 39, 41, 41, 6]","['<SOS>', '112', '112', '10881', '10881', '11189', '11019', '11019', '11019', '11019', '11019', '11019', '11049', '11049', '10609']",A_APPROVED_COMPLETE,0.5955280661582947,15,2
1455,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",178263,15500.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 41, 41, 7]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '11049', '11049', '10629']",A_APPROVED_COMPLETE,0.6266091465950012,13,2
1847,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",179504,15500.0,"[70, 53, 53, 53, 71, 54, 54, 54, 54, 54, 71, 71, 40, 71, 10]","['<SOS>', '112', '112', '112', 'UNKNOWN', '11200', '11200', '11200', '11200', '11200', 'UNKNOWN', 'UNKNOWN', '11029', 'UNKNOWN', '10809']",A_APPROVED_COMPLETE,0.4573896825313568,15,2
3865,"[2, 12, 9, 10, 3, 8, 17, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",185740,15500.0,"[70, 53, 53, 53, 48, 48, 48, 48, 48, 48, 19, 19, 3]","['<SOS>', '112', '112', '112', '11169', '11169', '11169', '11169', '11169', '11169', '10899', '10899', '10138']",A_APPROVED_COMPLETE,0.5501279234886169,13,2
866,"[2, 12, 9, 10, 22, 22, 3, 8, 17, 15, 19, 22, 24, 18, 24, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE']",176413,15500.0,"[70, 53, 53, 53, 52, 48, 49, 49, 49, 49, 49, 49, 50, 40, 71, 7]","['<SOS>', '112', '112', '112', '11189', '11169', '11179', '11179', '11179', '11179', '11179', '11179', '11180', '11029', 'UNKNOWN', '10629']",A_APPROVED_COMPLETE,0.5841249227523804,16,2
9870,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",204454,15500.0,"[70, 53, 53, 53, 51, 57, 57, 57, 57, 57, 57, 57, 19, 19, 32]","['<SOS>', '112', '112', '112', '11181', '11203', '11203', '11203', '11203', '11203', '11203', '11203', '10899', '10899', '10972']",A_APPROVED_COMPLETE,0.4220140874385834,15,2
2234,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",180724,15500.0,"[70, 53, 53, 53, 50, 50, 38, 38, 38, 38, 38, 38, 40, 71, 10]","['<SOS>', '112', '112', '112', '11180', '11180', '11009', '11009', '11009', '11009', '11009', '11009', '11029', 'UNKNOWN', '10809']",A_APPROVED_COMPLETE,0.4458409547805786,15,2
754,"[2, 12, 9, 10, 22, 22, 3, 17, 8, 15, 19, 22, 18, 24, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'O_SELECTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE']",176051,15500.0,"[70, 53, 53, 53, 71, 71, 52, 52, 52, 52, 52, 52, 40, 71, 6]","['<SOS>', '112', '112', '112', 'UNKNOWN', 'UNKNOWN', '11189', '11189', '11189', '11189', '11189', '11189', '11029', 'UNKNOWN', '10609']",A_APPROVED_COMPLETE,0.6336356997489929,15,2
10450,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",206267,15500.0,"[70, 53, 53, 53, 55, 23, 23, 23, 23, 23, 23, 19, 19, 7]","['<SOS>', '112', '112', '112', '11201', '10913', '10913', '10913', '10913', '10913', '10913', '10899', '10899', '10629']",A_APPROVED_COMPLETE,0.6652147173881531,14,2
10185,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 4]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_ACTIVATED_COMPLETE']",205421,15500.0,"[70, 53, 53, 53, 49, 39, 39, 39, 39, 39, 39, 59, 59, 7]","['<SOS>', '112', '112', '112', '11179', '11019', '11019', '11019', '11019', '11019', '11019', '11259', '11259', '10629']",A_APPROVED_COMPLETE,0.7632333636283875,14,2
11432,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 11, 13]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'A_REGISTERED_COMPLETE', 'O_ACCEPTED_COMPLETE']",209287,15500.0,"[70, 53, 53, 53, 23, 23, 23, 23, 23, 23, 23, 6, 6, 6, 6]","['<SOS>', '112', '112', '112', '10913', '10913', '10913', '10913', '10913', '10913', '10913', '10609', '10609', '10609', '10609']",A_APPROVED_COMPLETE,0.9509156346321106,15,2
12700,"[2, 12, 9, 10, 22, 3, 8, 17, 15, 19, 22, 18, 24, 13, 11]","['<SOS>', 'A_SUBMITTED_COMPLETE', 'A_PARTLYSUBMITTED_COMPLETE', 'A_PREACCEPTED_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'A_ACCEPTED_COMPLETE', 'A_FINALIZED_COMPLETE', 'O_SELECTED_COMPLETE', 'O_CREATED_COMPLETE', 'O_SENT_COMPLETE', 'W_Completeren aanvraag_COMPLETE', 'O_SENT_BACK_COMPLETE', 'W_Nabellen offertes_COMPLETE', 'O_ACCEPTED_COMPLETE', 'A_REGISTERED_COMPLETE']",213192,15500.0,"[70, 53, 53, 53, 67, 67, 67, 67, 67, 67, 67, 41, 41, 32, 32]","['<SOS>', '112', '112', '112', '11319', '11319', '11319', '11319', '11319', '11319', '11319', '11049', '11049', '10972', '10972']",A_APPROVED_COMPLETE,0.912619411945343,15,2
